sale_id,customer_id,store_id,sale_date,total
3,160,15,2023-09-23 10:23:26.643082,359.98
4,298,5,2020-10-18 02:06:58.749665,399.99
5,212,20,2021-02-03 18:50:47.573929,399.84
6,95,9,2021-01-24 14:37:46.625466,549.75
7,594,16,2020-02-19 03:47:49.052471,119.9
8,376,4,2023-09-23 07:31:23.108512,741.65
9,536,8,2023-03-03 23:14:58.146892,1014.93
10,427,19,2022-01-03 21:28:45.298415,1599.93
11,364,3,2020-08-03 01:26:45.902005,1209.48
12,280,5,2022-02-27 22:31:32.490827,39.98
13,274,14,2024-03-02 09:09:42.738337,1799.94
14,152,17,2021-01-31 08:22:32.014012,1199.97
15,103,9,2020-02-17 13:10:12.269690,299.97
16,386,2,2020-05-27 05:13:31.646313,259.8
17,708,14,2024-01-08 20:39:47.485603,414.66
18,48,11,2023-02-08 21:32:52.206875,74.7
19,733,18,2025-02-03 18:22:40.420381,609.96
20,702,20,2024-05-29 03:01:16.326447,749.68
21,628,10,2020-07-23 23:20:22.983612,509.67
22,394,20,2025-09-04 20:35:43.648576,179.97
23,430,5,2023-08-02 03:03:51.804310,1379.93
24,473,17,2023-03-19 12:54:27.938344,219.6
25,487,2,2024-06-14 18:44:35.178817,39.99
26,533,4,2023-07-23 21:14:32.906703,799.95
27,85,17,2021-11-02 17:27:18.432937,899.97
28,387,18,2020-07-28 18:21:14.533185,899.97
29,133,11,2024-02-29 08:15:48.067015,439.96
30,67,7,2024-01-30 07:18:53.318682,124.6
31,587,16,2023-01-11 01:15:13.755663,169.98
32,374,13,2022-09-22 20:11:40.282871,799.98
33,559,2,2021-12-01 18:18:02.452307,759.39
34,175,13,2024-02-23 15:44:56.777653,499.77
35,500,10,2024-07-15 22:34:13.947402,1039.74
36,149,14,2025-10-11 12:45:39.667823,1089.62
37,426,19,2022-08-11 23:12:38.289730,549.66
38,313,18,2023-06-26 00:20:20.846345,929.75
39,609,18,2020-02-02 17:42:12.267226,1139.64
40,306,15,2023-05-07 10:41:53.522633,989.9
41,750,10,2023-03-05 00:58:32.335084,59.99
42,202,1,2022-01-22 07:51:18.894017,39.9
43,406,9,2020-06-23 21:24:48.316051,389.97
44,127,10,2023-01-13 05:42:02.129499,499.98
45,423,7,2024-09-14 04:04:41.071391,49.99
46,407,19,2025-11-06 07:50:09.296264,1469.85
47,269,2,2020-03-13 00:27:25.210432,294.85
48,550,9,2025-03-31 07:41:00.690139,399.99
49,662,20,2020-03-10 11:30:26.849617,239.97
50,98,1,2024-02-02 09:14:39.228603,519.66
51,608,14,2024-12-04 09:32:38.725555,819.48
52,269,15,2025-12-21 04:53:19.367220,1119.76
53,608,6,2023-04-21 19:31:14.245437,99.98
54,258,3,2022-12-25 00:39:39.306699,49.99
55,408,9,2024-07-14 13:43:30.711539,509.4
56,456,15,2022-10-05 08:14:34.847307,739.78
57,71,4,2022-03-24 03:31:43.801284,299.95
58,37,17,2022-05-10 20:26:04.652308,139.8
59,208,17,2020-04-24 21:07:59.237377,89.97
60,302,5,2024-08-16 19:07:21.241776,1439.92
61,267,13,2021-01-03 01:22:22.100361,119.7
62,187,19,2023-04-01 06:19:10.431262,429.57
63,627,6,2023-03-25 04:25:14.774189,441.68
64,176,7,2020-05-13 23:27:08.355602,769.95
65,448,16,2020-12-11 22:39:42.266341,494.78
66,461,3,2022-01-31 17:56:17.677122,439.74
67,128,8,2023-01-27 16:43:55.429681,1189.77
68,320,8,2022-01-17 11:00:17.460585,819.74
69,404,18,2021-09-25 07:59:02.566524,1769.64
70,230,20,2023-03-28 08:33:58.597148,359.94
71,38,4,2022-05-20 15:53:24.900820,74.7
72,693,19,2021-09-19 04:26:45.306741,1709.36
73,620,4,2021-04-23 23:16:35.209863,389.94
74,300,20,2025-08-04 17:58:09.581149,199.8
75,121,5,2025-05-11 18:33:46.668935,1129.74
76,549,5,2024-08-18 04:10:23.465814,154.94
77,408,6,2023-10-05 22:51:54.696744,929.48
78,254,8,2022-09-21 05:09:18.960044,599.78
